Date,Open,High,Low,Close
09-Oct-2019,11152.95,11321.6,11090.15,11313.3
10-Oct-2019,11280.5,11293.35,11208.55,11234.55
11-Oct-2019,11257.7,11362.9,11189.4,11305.05
14-Oct-2019,11335.9,11420.45,11290.05,11341.15
15-Oct-2019,11360.85,11462.35,11342.1,11428.3
16-Oct-2019,11464.95,11481.05,11411.1,11464
17-Oct-2019,11466.3,11599.1,11439.65,11586.35
18-Oct-2019,11580.3,11684.7,11553.15,11661.85
22-Oct-2019,11657.15,11714.35,11573.65,11588.35
23-Oct-2019,11596.2,11651.6,11554.4,11604.1
24-Oct-2019,11661.65,11679.6,11534.65,11582.6
25-Oct-2019,11646.15,11646.9,11490.75,11583.9
27-Oct-2019,11662.25,11672.4,11604.6,11627.15
29-Oct-2019,11643.95,11809.4,11627.35,11786.85
30-Oct-2019,11883.9,11883.95,11784.45,11844.1
31-Oct-2019,11890.45,11945,11855.1,11877.45
01-Nov-2019,11886.6,11918.3,11843.35,11890.6
04-Nov-2019,11928.9,11989.15,11905.35,11941.3
05-Nov-2019,11974.6,11978.95,11861.9,11917.2
06-Nov-2019,11911.5,12002.9,11850.25,11966.05
07-Nov-2019,12021.1,12021.4,11946.85,12012.05
08-Nov-2019,11987.15,12034.15,11888.75,11908.15
11-Nov-2019,11879.2,11932.65,11853.95,11913.45
13-Nov-2019,11908.3,11946.8,11823.2,11840.45
14-Nov-2019,11858.75,11895.65,11802.65,11872.1
15-Nov-2019,11904.2,11973.65,11879.25,11895.45
18-Nov-2019,11915.15,11946.2,11867.6,11884.5
19-Nov-2019,11919.45,11958.85,11881.75,11940.1
20-Nov-2019,12004.75,12038.6,11966.05,11999.1
21-Nov-2019,12025.65,12028.2,11956.9,11968.4
22-Nov-2019,11967.3,11968.1,11883.5,11914.4
25-Nov-2019,11922.45,12084.5,11919.75,12073.75
26-Nov-2019,12110.2,12132.45,12006.35,12037.7
27-Nov-2019,12068.5,12114.9,12055.15,12100.7
28-Nov-2019,12132.1,12158.8,12099.95,12151.15
29-Nov-2019,12146.2,12147.4,12017.4,12056.05
02-Dec-2019,12137.05,12137.15,12023.7,12048.2
03-Dec-2019,12067.65,12068.6,11956.4,11994.2
04-Dec-2019,11969.95,12054.7,11935.3,12043.2
05-Dec-2019,12071.25,12081.2,11998.75,12018.4
06-Dec-2019,12047.35,12057.05,11888.85,11921.5
09-Dec-2019,11939.1,11981.95,11888.05,11937.5
10-Dec-2019,11950.5,11953.2,11844.7,11856.8
11-Dec-2019,11867.35,11923.2,11832.3,11910.15
12-Dec-2019,11944.3,12005.5,11934,11971.8
13-Dec-2019,12026.4,12098.85,12023.6,12086.7
16-Dec-2019,12131.35,12134.65,12046.3,12053.95
17-Dec-2019,12082.45,12182.75,12070.35,12165
18-Dec-2019,12197,12237.7,12163.45,12221.65
19-Dec-2019,12223.4,12268.35,12191.15,12259.7
20-Dec-2019,12266.45,12293.9,12252.75,12271.8
23-Dec-2019,12235.45,12287.15,12213.25,12262.75
24-Dec-2019,12269.25,12283.7,12202.1,12214.55
26-Dec-2019,12211.85,12221.55,12118.85,12126.55
27-Dec-2019,12172.9,12258.45,12157.9,12245.8
30-Dec-2019,12274.9,12286.45,12213.8,12255.85
31-Dec-2019,12247.1,12247.1,12151.8,12168.45
01-Jan-2020,12202.15,12222.2,12165.3,12182.5
02-Jan-2020,12198.55,12289.9,12195.25,12282.2
03-Jan-2020,12261.1,12265.6,12191.35,12226.65
06-Jan-2020,12170.6,12179.1,11974.2,11993.05
07-Jan-2020,12079.1,12152.15,12005.35,12052.95
08-Jan-2020,11939.1,12044.95,11929.6,12025.35
09-Jan-2020,12153.15,12224.05,12132.55,12215.9
10-Jan-2020,12271,12311.2,12213.2,12256.8
13-Jan-2020,12296.7,12337.75,12285.8,12329.55
14-Jan-2020,12333.1,12374.25,12308.7,12362.3
15-Jan-2020,12349.4,12355.15,12278.75,12343.3
16-Jan-2020,12347.1,12389.05,12315.8,12355.5
17-Jan-2020,12328.4,12385.45,12321.4,12352.35
20-Jan-2020,12430.5,12430.5,12216.9,12224.55
21-Jan-2020,12195.3,12230.05,12162.3,12169.85
22-Jan-2020,12218.35,12225.05,12087.9,12106.9
23-Jan-2020,12123.75,12189,12094.1,12180.35
24-Jan-2020,12174.55,12272.15,12149.65,12248.25
27-Jan-2020,12197.1,12216.6,12107,12119
28-Jan-2020,12148.1,12163.55,12024.5,12055.8
29-Jan-2020,12114.9,12169.6,12103.8,12129.5
30-Jan-2020,12147.75,12150.3,12010.6,12035.8
31-Jan-2020,12100.4,12103.55,11945.85,11962.1
01-Feb-2020,11939,12017.35,11633.3,11661.85
03-Feb-2020,11627.45,11749.85,11614.5,11707.9
04-Feb-2020,11786.25,11986.15,11783.4,11979.65
05-Feb-2020,12005.85,12098.15,11953.35,12089.15
06-Feb-2020,12120,12160.6,12084.65,12137.95
07-Feb-2020,12151.15,12154.7,12073.95,12098.35
10-Feb-2020,12102.35,12103.55,11990.75,12031.5
11-Feb-2020,12108.4,12172.3,12099,12107.9
12-Feb-2020,12151,12231.75,12144.3,12201.2
13-Feb-2020,12219.55,12225.65,12139.8,12174.65
14-Feb-2020,12190.15,12246.7,12091.2,12113.45
17-Feb-2020,12131.8,12159.6,12037,12045.8
18-Feb-2020,12028.25,12030.75,11908.05,11992.5
19-Feb-2020,12090.6,12134.7,12042.1,12125.9
20-Feb-2020,12119,12152,12071.45,12080.85
24-Feb-2020,12012.55,12012.55,11813.4,11829.4
25-Feb-2020,11877.5,11883.05,11779.9,11797.9
26-Feb-2020,11738.55,11783.25,11639.6,11678.5
27-Feb-2020,11661.25,11663.85,11536.7,11633.3
28-Feb-2020,11382,11384.8,11175.05,11201.75
02-Mar-2020,11387.35,11433,11036.25,11132.75
03-Mar-2020,11217.55,11342.25,11152.55,11303.3
04-Mar-2020,11351.35,11356.6,11082.15,11251
05-Mar-2020,11306.05,11389.5,11244.6,11269
06-Mar-2020,10942.65,11035.1,10827.4,10989.45
09-Mar-2020,10742.05,10751.55,10294.45,10451.45
11-Mar-2020,10334.3,10545.1,10334,10458.4
12-Mar-2020,10039.95,10040.75,9508,9590.15
13-Mar-2020,9107.6,10159.4,8555.15,9955.2
16-Mar-2020,9587.8,9602.2,9165.1,9197.4
17-Mar-2020,9285.4,9403.8,8915.6,8967.05
18-Mar-2020,9088.45,9127.55,8407.05,8468.8
19-Mar-2020,8063.3,8575.45,7832.55,8263.45
20-Mar-2020,8284.45,8883,8178.2,8745.45
23-Mar-2020,7945.7,8159.25,7583.6,7610.25
24-Mar-2020,7848.3,8036.95,7511.1,7801.05
25-Mar-2020,7735.15,8376.75,7714.75,8317.85
26-Mar-2020,8451,8749.05,8304.9,8641.45
27-Mar-2020,8949.1,9038.9,8522.9,8660.25
30-Mar-2020,8385.95,8576,8244,8281.1
31-Mar-2020,8529.35,8678.3,8358,8597.75
01-Apr-2020,8584.1,8588.1,8198.35,8253.8
03-Apr-2020,8356.55,8356.55,8055.8,8083.8
07-Apr-2020,8446.3,8819.4,8360.95,8792.2
08-Apr-2020,8688.9,9131.7,8653.9,8748.75
09-Apr-2020,8973.05,9128.35,8904.55,9111.9
13-Apr-2020,9103.95,9112.05,8912.4,8993.85
15-Apr-2020,9196.4,9261.2,8874.1,8925.3
16-Apr-2020,8851.25,9053.75,8821.9,8992.8
17-Apr-2020,9323.45,9324,9091.35,9266.75
20-Apr-2020,9390.2,9390.85,9230.8,9261.85
21-Apr-2020,9016.95,9044.4,8909.4,8981.45
22-Apr-2020,9026.75,9209.75,8946.25,9187.3
23-Apr-2020,9232.35,9343.6,9170.15,9313.9
24-Apr-2020,9163.9,9296.9,9141.3,9154.4
27-Apr-2020,9259.7,9377.1,9250.35,9282.3
28-Apr-2020,9389.8,9404.4,9260,9380.9
29-Apr-2020,9408.6,9599.85,9392.35,9553.35
30-Apr-2020,9753.5,9889.05,9731.5,9859.9
04-May-2020,9533.5,9533.5,9266.95,9293.5
05-May-2020,9429.4,9450.9,9190.75,9205.6
06-May-2020,9226.8,9346.9,9116.5,9270.9
07-May-2020,9234.05,9277.85,9175.9,9199.05
08-May-2020,9376.95,9382.65,9238.2,9251.5
11-May-2020,9348.15,9439.9,9219.95,9239.2
12-May-2020,9168.85,9240.85,9043.95,9196.55
13-May-2020,9584.2,9584.5,9351.1,9383.55
14-May-2020,9213.95,9281.1,9119.75,9142.75
15-May-2020,9182.4,9182.4,9050,9136.85
18-May-2020,9158.3,9158.3,8806.75,8823.25
19-May-2020,8961.7,9030.35,8855.3,8879.1
20-May-2020,8889.15,9093.8,8875.35,9066.55
21-May-2020,9079.45,9178.55,9056.1,9106.25
22-May-2020,9067.9,9149.6,8968.55,9039.25
26-May-2020,9099.75,9161.65,8996.65,9029.05
27-May-2020,9082.2,9334,9004.25,9314.95
28-May-2020,9364.95,9511.25,9336.5,9490.1
29-May-2020,9422.2,9598.85,9376.9,9580.3
01-Jun-2020,9726.85,9931.6,9706.95,9826.15
02-Jun-2020,9880.85,9995.6,9824.05,9979.1
03-Jun-2020,10108.3,10176.2,10035.55,10061.55
04-Jun-2020,10054.25,10123.85,9944.25,10029.1
05-Jun-2020,10093.8,10177.8,10040.75,10142.15
08-Jun-2020,10326.75,10328.5,10120.25,10167.45
09-Jun-2020,10181.15,10291.15,10021.45,10046.65
10-Jun-2020,10072.6,10148.75,10036.85,10116.15
11-Jun-2020,10094.1,10112.05,9885.05,9902
12-Jun-2020,9544.95,9996.05,9544.35,9972.9
15-Jun-2020,9919.35,9943.35,9726.35,9813.7
