Date,Open,High,Low,Close
17-Jun-2019,11844,11844.05,11657.75,11672.15
18-Jun-2019,11677.05,11727.2,11641.15,11691.5
19-Jun-2019,11744.45,11802.5,11625.1,11691.45
20-Jun-2019,11653.65,11843.5,11635.05,11831.75
21-Jun-2019,11827.6,11827.95,11705.1,11724.1
24-Jun-2019,11725.8,11754,11670.2,11699.65
25-Jun-2019,11681,11814.4,11651,11796.45
26-Jun-2019,11768.15,11871.85,11757.55,11847.55
27-Jun-2019,11860.85,11911.15,11821.05,11841.55
28-Jun-2019,11861.15,11871.7,11775.5,11788.85
01-Jul-2019,11839.9,11884.65,11830.8,11865.6
02-Jul-2019,11890.3,11917.45,11814.7,11910.3
03-Jul-2019,11932.15,11945.2,11887.05,11916.75
04-Jul-2019,11928.8,11969.25,11923.65,11946.75
05-Jul-2019,11964.75,11981.75,11797.9,11811.15
08-Jul-2019,11770.4,11771.9,11523.3,11558.6
09-Jul-2019,11531.6,11582.55,11461,11555.9
10-Jul-2019,11536.15,11593.7,11475.65,11498.9
11-Jul-2019,11561.45,11599,11519.5,11582.9
12-Jul-2019,11601.15,11639.55,11538.6,11552.5
15-Jul-2019,11614.75,11618.4,11532.3,11588.35
16-Jul-2019,11596.65,11670.05,11573.95,11662.6
17-Jul-2019,11670.75,11706.65,11651.15,11687.5
18-Jul-2019,11675.6,11677.15,11582.4,11596.9
19-Jul-2019,11627.95,11640.35,11399.3,11419.25
22-Jul-2019,11392.85,11398.15,11301.25,11346.2
23-Jul-2019,11372.25,11398.15,11302.8,11331.05
24-Jul-2019,11322.45,11359.75,11229.8,11271.3
25-Jul-2019,11290.4,11361.4,11239.35,11252.15
26-Jul-2019,11247.45,11307.6,11210.05,11284.3
29-Jul-2019,11307.5,11310.95,11152.4,11189.2
30-Jul-2019,11213.7,11267.45,11072.65,11085.4
31-Jul-2019,11034.05,11145.3,10999.4,11118
01-Aug-2019,11060.2,11076.75,10881,10980
02-Aug-2019,10930.3,11080.15,10848.95,10997.35
05-Aug-2019,10895.8,10895.8,10782.6,10862.6
06-Aug-2019,10815.4,11018.55,10813.8,10948.25
07-Aug-2019,10958.1,10975.65,10835.9,10855.5
08-Aug-2019,10899.2,11058.05,10842.95,11032.45
09-Aug-2019,11087.9,11181.45,11062.8,11109.65
13-Aug-2019,11139.4,11145.9,10901.6,10925.85
14-Aug-2019,11003.25,11078.15,10935.6,11029.4
16-Aug-2019,11043.65,11068.65,10924.3,11047.8
19-Aug-2019,11094.8,11146.9,11037.85,11053.9
20-Aug-2019,11063.9,11076.3,10985.3,11017
21-Aug-2019,11018.15,11034.2,10906.65,10918.7
22-Aug-2019,10905.3,10908.25,10718.3,10741.35
23-Aug-2019,10699.6,10862.55,10637.15,10829.35
26-Aug-2019,11000.3,11070.3,10756.55,11057.85
27-Aug-2019,11106.55,11141.75,11049.5,11105.35
28-Aug-2019,11101.3,11129.65,10987.65,11046.1
29-Aug-2019,10996.05,11021.1,10922.4,10948.3
30-Aug-2019,10987.8,11042.6,10874.8,11023.25
03-Sep-2019,10960.95,10967.5,10772.7,10797.9
04-Sep-2019,10790.4,10858.75,10746.35,10844.65
05-Sep-2019,10860.95,10920.1,10816,10847.9
06-Sep-2019,10883.8,10957.05,10867.45,10946.2
09-Sep-2019,10936.7,11028.85,10889.8,11003.05
11-Sep-2019,11028.5,11054.8,11011.65,11035.7
12-Sep-2019,11058.3,11081.75,10964.95,10982.8
13-Sep-2019,10986.8,11084.45,10945.75,11075.9
16-Sep-2019,10994.85,11052.7,10968.2,11003.5
17-Sep-2019,11000.1,11000.1,10796.5,10817.6
18-Sep-2019,10872.8,10885.15,10804.85,10840.65
19-Sep-2019,10845.2,10845.2,10670.25,10704.8
20-Sep-2019,10746.8,11381.9,10691,11274.2
23-Sep-2019,11542.7,11694.85,11471.35,11600.2
24-Sep-2019,11590.7,11655.05,11539.2,11588.2
25-Sep-2019,11564.85,11564.95,11416.1,11440.2
26-Sep-2019,11469.85,11610.85,11466.35,11571.2
27-Sep-2019,11556.35,11593.6,11499.75,11512.4
30-Sep-2019,11491.15,11508.25,11390.8,11474.45
01-Oct-2019,11515.4,11554.2,11247.9,11359.9
03-Oct-2019,11322.25,11370.4,11257.35,11314
04-Oct-2019,11388.45,11400.3,11158.35,11174.75
07-Oct-2019,11196.2,11233.85,11112.65,11126.4
